Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
3697643/;;;;MPL CLIP, яюфњхь 0 ьь, ё/т  173L8100;;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900824583;;60;18.07.2018;-1000;ив;;
1100;643;;4900824642;;78;18.07.2018;-1500;ив;;
1100;643;;4900824623;;34;18.07.2018;-500;ив;;
1100;643;;4900824463;;183;18.07.2018;-4000;ив;;
1100;643;;4900823015;;35;17.07.2018;-500;ив;;
1100;643;;4900823183;;60;17.07.2018;-1500;ив;;
1100;643;;4900823234;;41;17.07.2018;-1000;ив;;
1100;643;;4900823684;;74;17.07.2018;-1000;ив;;
1100;643;;4900823789;;44;17.07.2018;-500;ив;;
1100;643;;4900823812;;69;17.07.2018;-500;ив;;
1100;643;;4900822625;;55;16.07.2018;-500;ив;;
1100;643;;4900822646;;51;16.07.2018;-500;ив;;
1100;643;;4900822786;;105;16.07.2018;-500;ив;;
1100;643;;4900822898;;48;16.07.2018;-1000;ив;;
1100;643;;4900822349;;57;16.07.2018;-500;ив;;
1100;643;;4900822930;;83;16.07.2018;-500;ив;;
1100;643;;4900821339;;32;13.07.2018;-1500;ив;;
1100;643;;4900821372;;73;13.07.2018;-1500;ив;;
1100;643;;4900821639;;132;13.07.2018;-2000;ив;;
1100;643;;4900821692;;27;13.07.2018;-1500;ив;;
1100;643;;4900821827;;98;13.07.2018;-500;ив;;
1100;643;;4900821931;;48;13.07.2018;-500;ив;;
1100;643;;4900822012;;73;13.07.2018;-1000;ив;;
1100;643;;4900820811;;77;12.07.2018;-500;ив;;
1100;643;;4900820384;;58;12.07.2018;-1500;ив;;
1100;643;;4900821087;;114;12.07.2018;-2000;ив;;
1100;643;;4900820677;;58;12.07.2018;-500;ив;;
1100;643;;4900820125;;187;11.07.2018;-5000;ив;;
1100;643;;4900820150;;7;11.07.2018;-1500;ив;;
1100;643;;4900820168;;8;11.07.2018;-3500;ив;;
1100;643;;4900819473;;19;11.07.2018;-3000;ив;;
1100;643;;4900819768;;101;11.07.2018;-1500;ив;;
1100;643;;4900819993;;46;11.07.2018;-500;ив;;
1100;101;;5000043572;;44;10.07.2018;48 000;ив;;
1100;101;;5000043532;;109;09.07.2018;48 000;ив;;
1100;643;;4900817021;;13;06.07.2018;-500;ив;;
1100;643;;4900816579;;45;05.07.2018;-500;ив;;
1100;643;;4900816418;;62;05.07.2018;-2000;ив;;
1100;643;;4900816724;;117;05.07.2018;-2000;ив;;
1100;643;;4900815342;;114;04.07.2018;-4500;ив;;
1100;643;;4900815580;;92;04.07.2018;-2000;ив;;
1100;643;;4900815323;;33;04.07.2018;-500;ив;;
1100;643;;4900815559;;52;04.07.2018;-500;ив;;
1100;643;;4900815058;;103;03.07.2018;-500;ив;;
1100;643;;4900814949;;69;03.07.2018;-500;ив;;
1100;643;;4900815075;;42;03.07.2018;-1000;ив;;
1100;643;;4900814886;;112;03.07.2018;-1000;ив;;
1100;643;;4900814451;;145;03.07.2018;-500;ив;;
1100;643;;4900813606;;51;02.07.2018;-1000;ив;;
1100;643;;4900814215;;74;02.07.2018;-500;ив;;
1100;643;;4900813714;;42;02.07.2018;-1000;ив;;
1100;643;;4900813735;;54;02.07.2018;-500;ив;;
1100;643;;4900813925;;72;02.07.2018;-1000;ив;;
1100;643;;4900813358;;61;29.06.2018;-500;ив;;
1100;643;;4900813192;;55;29.06.2018;-2000;ив;;
1100;643;;4900813126;;58;29.06.2018;-1500;ив;;
1100;643;;4900812860;;125;29.06.2018;-2500;ив;;
1100;643;;4900812811;;25;29.06.2018;-1000;ив;;
1100;643;;4900812656;;60;29.06.2018;-1000;ив;;
1100;643;;4900812361;;88;28.06.2018;-2000;ив;;
1100;643;;4900812340;;50;28.06.2018;-500;ив;;
1100;643;;4900811279;;60;27.06.2018;-500;ив;;
1100;643;;4900811020;;155;27.06.2018;-1000;ив;;
1100;643;;4900811289;;74;27.06.2018;-1000;ив;;
1100;643;;4900811315;;35;27.06.2018;-500;ив;;
1100;643;;4900811020;;156;27.06.2018;-3000;ив;;
1100;643;;4900810771;;120;26.06.2018;-16000;ив;;
1100;643;;4900810630;;37;26.06.2018;-1000;ив;;
1100;643;;4900810207;;82;26.06.2018;-500;ив;;
1100;643;;4900810176;;43;26.06.2018;-500;ив;;
1100;643;;4900810417;;23;26.06.2018;-1000;ив;;
1100;643;;4900810807;;76;26.06.2018;-1000;ив;;
1100;643;;4900810672;;71;26.06.2018;-1000;ив;;
1100;643;;4900809563;;72;25.06.2018;-1000;ив;;
1100;643;;4900809337;;60;25.06.2018;-500;ив;;
1100;643;;4900809612;;43;25.06.2018;-1000;ив;;
1100;643;;4900809786;;95;25.06.2018;-2500;ив;;
1100;643;;4900809786;;96;25.06.2018;-1500;ив;;
1100;643;;4900809849;;43;25.06.2018;-500;ив;;
1100;643;;4900808683;;72;22.06.2018;-500;ив;;
1100;643;;4900808573;;117;22.06.2018;-3500;ив;;
1100;643;;4900808550;;88;22.06.2018;-1000;ив;;
1100;643;;4900808832;;102;22.06.2018;-1000;ив;;
1100;101;;5000042996;;113;22.06.2018;36 000;ив;;
1100;643;;4900808284;;33;22.06.2018;-1000;ив;;
1100;643;;4900808750;;41;22.06.2018;-500;ив;;
1100;643;;4900807845;;59;21.06.2018;-500;ив;;
1100;643;;4900807257;;60;21.06.2018;-500;ив;;
1100;643;;4900807989;;128;21.06.2018;-2000;ив;;
1100;643;;4900806595;;92;20.06.2018;-4000;ив;;
1100;643;;4900806643;;88;20.06.2018;-1500;ив;;
1100;643;;4900806842;;44;20.06.2018;-500;ив;;
1100;643;;4900806919;;73;20.06.2018;-1000;ив;;
1100;643;;4900806121;;40;19.06.2018;-500;ив;;
1100;643;;4900805882;;49;19.06.2018;-500;ив;;
1100;643;;4900805945;;41;19.06.2018;-500;ив;;
1100;643;;4900805945;;42;19.06.2018;-500;ив;;
1100;643;;4900806076;;92;19.06.2018;-500;ив;;
1100;643;;4900804960;;41;18.06.2018;-500;ив;;
1100;643;;4900804226;;86;15.06.2018;-2000;ив;;
1100;643;;4900804230;;44;15.06.2018;-500;ив;;
1100;643;;4900803936;;128;15.06.2018;-5000;ив;;
1100;643;;4900803740;;91;15.06.2018;-1000;ив;;
1100;643;;4900802531;;57;14.06.2018;-500;ив;;
1100;643;;4900803261;;96;14.06.2018;-500;ив;;
1100;643;;4900803149;;131;14.06.2018;-1500;ив;;
1100;643;;4900802621;;90;14.06.2018;-500;ив;;
1100;643;;4900801704;;54;13.06.2018;-500;ив;;
1100;643;;4900802080;;157;13.06.2018;-1500;ив;;
1100;101;;5000042668;;54;13.06.2018;24 000;ив;;
1100;643;;4900801717;;87;13.06.2018;-500;ив;;
1100;643;;4900801006;;44;09.06.2018;-500;ив;;
1100;643;;4900801378;;87;09.06.2018;-7000;ив;;
1100;643;;4900801292;;51;09.06.2018;-500;ив;;
1100;643;;4900800353;;89;08.06.2018;-6000;ив;;
1100;101;;5000042588;;97;08.06.2018;24 000;ив;;
1100;643;;4900800549;;137;08.06.2018;-3000;ив;;
1100;643;;4900800697;;64;08.06.2018;-500;ив;;
1100;643;;4900800168;;94;08.06.2018;-2000;ив;;
1100;643;;4900800697;;63;08.06.2018;-1500;ив;;
1100;643;;4900800196;;32;08.06.2018;-1000;ив;;
1100;643;;4900799610;;105;07.06.2018;-1000;ив;;
1100;643;;4900799239;;71;07.06.2018;-500;ив;;
1100;643;;4900799450;;88;07.06.2018;-500;ив;;
1100;643;;4900799728;;109;07.06.2018;-500;ив;;
1100;643;;4900798283;;104;06.06.2018;-1000;ив;;
1100;643;;4900798721;;21;06.06.2018;-500;ив;;
1100;643;;4900798743;;122;06.06.2018;-3000;ив;;
1100;643;;4900798600;;148;06.06.2018;-3000;ив;;
1100;643;;4900797523;;35;05.06.2018;-500;ив;;
1100;643;;4900797663;;32;05.06.2018;-500;ив;;
1100;643;;4900797824;;87;05.06.2018;-1000;ив;;
1100;643;;4900797611;;14;05.06.2018;-500;ив;;
1100;643;;4900797915;;79;05.06.2018;-1500;ив;;
1100;643;;4900798064;;82;05.06.2018;-2500;ив;;
1100;643;;4900796801;;64;04.06.2018;-500;ив;;
1100;643;;4900796714;;46;04.06.2018;-1000;ив;;
1100;643;;4900796916;;70;04.06.2018;-1500;ив;;
1100;643;;4900796816;;27;04.06.2018;-500;ив;;
1100;643;;4900796663;;71;04.06.2018;-1500;ив;;
1100;101;;5000042404;;135;04.06.2018;24 000;ив;;
1100;643;;4900797068;;49;04.06.2018;-1500;ив;;
1100;643;;4900796848;;52;04.06.2018;-500;ив;;
1100;643;;4900796131;;87;01.06.2018;-5000;ив;;
1100;643;;4900796080;;12;01.06.2018;-500;ив;;
1100;643;;4900796041;;61;01.06.2018;-2000;ив;;
1100;643;;4900795789;;13;01.06.2018;-500;ив;;
1100;643;;4900795662;;81;01.06.2018;-3500;ив;;
1100;643;;4900794468;;4;31.05.2018;-5000;ив;;
1100;643;;4900795187;;37;31.05.2018;-500;ив;;
1100;643;;4900794670;;57;31.05.2018;-500;ив;;
1100;643;;4900794930;;109;31.05.2018;-3000;ив;;
1100;101;;5000042243;;57;30.05.2018;60 000;ив;;
1100;643;;4900794265;;24;30.05.2018;-2000;ив;;
1100;643;;4900794230;;126;30.05.2018;-500;ив;;
1100;643;;4900792263;;51;28.05.2018;-500;ив;;
1100;643;;4900792276;;60;28.05.2018;-1000;ив;;
1100;643;;4900792397;;75;28.05.2018;-500;ив;;
1100;643;;4900791932;;33;28.05.2018;-500;ив;;
1100;643;;4900792244;;33;28.05.2018;-500;ив;;
1100;643;;4900791693;;36;25.05.2018;-500;ив;;
1100;643;;4900790958;;73;25.05.2018;-2000;ив;;
1100;643;;4900791326;;43;25.05.2018;-1000;ив;;
1100;643;;4900791443;;109;25.05.2018;-3000;ив;;
1100;643;;4900790037;;77;24.05.2018;-1000;ив;;
1100;643;;4900790443;;76;24.05.2018;-500;ив;;
1100;643;;4900790533;;109;24.05.2018;-1500;ив;;
1100;643;;4900790593;;52;24.05.2018;-500;ив;;
1100;643;;4900790688;;61;24.05.2018;-500;ив;;
1100;643;;4900789838;;21;23.05.2018;-500;ив;;
1100;643;;4900789817;;38;23.05.2018;-500;ив;;
1100;643;;4900789567;;52;23.05.2018;-500;ив;;
1100;643;;4900789831;;129;23.05.2018;-4000;ив;;
1100;643;;4900789596;;80;23.05.2018;-1000;ив;;
1100;643;;4900789831;;128;23.05.2018;-1000;ив;;
1100;643;;4900788355;;30;22.05.2018;-500;ив;;
1100;643;;4900788875;;61;22.05.2018;-1000;ив;;
1100;643;;4900789028;;29;22.05.2018;-500;ив;;
1100;643;;4900788969;;12;22.05.2018;-1000;ив;;
1100;643;;4900788948;;53;22.05.2018;-1500;ив;;
1100;643;;4900788799;;136;22.05.2018;-1500;ив;;
1100;643;;4900788647;;33;22.05.2018;-1000;ив;;
1100;643;;4900787874;;36;21.05.2018;-500;ив;;
1100;643;;4900787902;;50;21.05.2018;-1500;ив;;
1100;643;;4900788188;;76;21.05.2018;-2000;ив;;
1100;643;;4900787729;;66;21.05.2018;-1000;ив;;
1100;643;;4900788006;;38;21.05.2018;-500;ив;;
1100;643;;4900788273;;76;21.05.2018;-500;ив;;
1100;643;;4900787335;;78;18.05.2018;-1000;ив;;
1100;643;;4900787335;;77;18.05.2018;-500;ив;;
