Ьрђх№шры;;;;Ъ№рђъшщ ђхъёђ ьрђх№шрыр;;;;;Ч-ф;Шьџ 1
бъыф;ТФт;Ю;ФюъѓьЬђ№;;Яюч.;Ф/я№ютюфъш;Ъюы-тю т ХШ ттюфр;ХШТ;;
;;;;;;;;;;
1334692/;;;;TD схч BM, їрёђ.тћфт, 30 ъу, 300 ь(бЭпв);;;;;1100;жхэђ№.ёъырф-дшх№р
1100;643;;4900258084;;144;12.01.2015;-10;ив;;
1100;643;;4900254470;;139;26.12.2014;-10;ив;;
1100;643;;4900254470;;138;26.12.2014;-10;ив;;
1100;643;;4900254149;;90;25.12.2014;-30;ив;;
1100;643;;4900253698;;46;25.12.2014;-10;ив;;
1100;643;;4900252676;;376;24.12.2014;-10;ив;;
1100;643;;4900252630;;376;23.12.2014;-10;ив;;
1100;644;;4900252669;;376;23.12.2014;10;ив;;
1100;101;;5000015450;;36;23.12.2014;10;ив;;
1100;643;;4900251579;;47;22.12.2014;-10;ив;;
1100;101;;5000015431;;152;22.12.2014;10;ив;;
1100;643;;4900248800;;86;17.12.2014;-10;ив;;
1100;643;;4900248684;;95;17.12.2014;-10;ив;;
1100;643;;4900246163;;163;12.12.2014;-10;ив;;
1100;643;;4900246163;;162;12.12.2014;-20;ив;;
1100;101;;5000014901;;93;09.12.2014;70;ив;;
1100;643;;4900243827;;57;09.12.2014;-20;ив;;
1100;643;;4900242867;;28;08.12.2014;-20;ив;;
1100;101;;5000014806;;46;04.12.2014;10;ив;;
1100;101;;5000014749;;122;03.12.2014;10;ив;;
1100;643;;4900240472;;44;03.12.2014;-20;ив;;
1100;643;;4900239638;;255;01.12.2014;-10;ив;;
1100;643;;4900237452;;167;26.11.2014;-10;ив;;
1100;643;;4900235070;;221;20.11.2014;-10;ив;;
1100;643;;4900230069;;61;11.11.2014;-10;ив;;
1100;643;;4900227638;;117;05.11.2014;-10;ив;;
1100;643;;4900226130;;295;30.10.2014;-10;ив;;
1100;643;;4900225802;;228;30.10.2014;-10;ив;;
1100;643;;4900224322;;85;27.10.2014;-20;ив;;
1100;643;;4900220891;;135;17.10.2014;-10;ив;;
1100;643;;4900220360;;46;16.10.2014;-10;ив;;
1100;643;;4900219852;;168;15.10.2014;-17;ив;;
1100;643;;4900215182;;127;03.10.2014;-10;ив;;
1100;901;;4900214623;;49;02.10.2014;-3;ив;;
1100;643;;4900214554;;244;01.10.2014;-30;ив;;
1100;643;;4900213344;;113;29.09.2014;-10;ив;;
1100;101;;5000012958;;32;26.09.2014;60;ив;;
1100;643;;4900211101;;293;23.09.2014;-10;ив;;
1100;643;;4900210649;;97;23.09.2014;-10;ив;;
1100;643;;4900203145;;194;03.09.2014;-30;ив;;
1100;101;;5000012422;;25;03.09.2014;60;ив;;
1100;643;;4900202388;;48;02.09.2014;-10;ив;;
1100;643;;4900197139;;96;19.08.2014;-10;ив;;
1100;101;;5000011731;;64;06.08.2014;140;ив;;
1100;101;;5000011626;;98;01.08.2014;60;ив;;
1100;643;;4900189122;;76;30.07.2014;-10;ив;;
1100;643;;4900189122;;183;30.07.2014;-10;ив;;
1100;643;;4900188578;;131;29.07.2014;-10;ив;;
1100;643;;4900187791;;133;25.07.2014;-10;ив;;
1100;643;;4900184005;;138;16.07.2014;-10;ив;;
1100;643;;4900178587;;24;02.07.2014;-10;ив;;
1100;101;;5000010909;;61;01.07.2014;60;ив;;
1100;643;;4900178297;;77;01.07.2014;-10;ив;;
1100;643;;4900177295;;93;27.06.2014;-10;ив;;
1100;643;;4900175960;;191;25.06.2014;-10;ив;;
1100;643;;4900175062;;32;23.06.2014;-10;ив;;
1100;643;;4900174614;;145;20.06.2014;-10;ив;;
1100;643;;4900172877;;112;17.06.2014;-10;ив;;
1100;643;;4900172541;;94;16.06.2014;-10;ив;;
1100;643;;4900171818;;169;11.06.2014;-10;ив;;
1100;101;;5000010466;;6;10.06.2014;90;ив;;
1100;643;;4900169908;;52;06.06.2014;-10;ив;;
1100;643;;4900169486;;84;05.06.2014;-10;ив;;
1100;643;;4900168173;;67;02.06.2014;-10;ив;;
1100;643;;4900166598;;210;28.05.2014;-20;ив;;
1100;643;;4900165786;;122;27.05.2014;-20;ив;;
1100;643;;4900164294;;40;22.05.2014;-10;ив;;
1100;643;;4900160179;;32;12.05.2014;-10;ив;;
1100;643;;4900159834;;15;12.05.2014;-10;ив;;
1100;643;;4900159795;;9;12.05.2014;-10;ив;;
1100;643;;4900159664;;139;08.05.2014;-10;ив;;
1100;643;;4900158613;;24;06.05.2014;-10;ив;;
1100;101;;5000009635;;6;06.05.2014;30;ив;;
1100;643;;4900156770;;104;29.04.2014;-10;ив;;
1100;643;;4900155036;;85;24.04.2014;-10;ив;;
1100;643;;4900154258;;162;23.04.2014;-10;ив;;
1100;643;;4900153709;;159;22.04.2014;-10;ив;;
1100;643;;4900153471;;52;21.04.2014;-20;ив;;
1100;643;;4900150386;;38;14.04.2014;-10;ив;;
1100;643;;4900150664;;86;14.04.2014;-10;ив;;
1100;643;;4900150102;;131;11.04.2014;-20;ив;;
1100;101;;5000009034;;78;09.04.2014;50;ив;;
1100;643;;4900146817;;137;03.04.2014;-10;ив;;
1100;643;;4900143632;;227;26.03.2014;-10;ив;;
1100;101;;5000008660;;34;25.03.2014;50;ив;;
1100;643;;4900140731;;190;19.03.2014;-10;ив;;
1100;643;;4900140165;;58;18.03.2014;-10;ив;;
1100;643;;4900139780;;92;17.03.2014;-10;ив;;
1100;643;;4900137273;;78;11.03.2014;-10;ив;;
1100;101;;5000008111;;3;03.03.2014;50;ив;;
1100;643;;4900133894;;95;28.02.2014;-10;ив;;
1100;101;;5000007997;;62;26.02.2014;60;ив;;
1100;101;;5000007893;;51;21.02.2014;20;ив;;
1100;643;;4900131127;;122;21.02.2014;-20;ив;;
1100;643;;4900128954;;64;17.02.2014;-10;ив;;
1100;101;;5000007505;;76;07.02.2014;20;ив;;
1100;101;;5000007505;;60;07.02.2014;20;ив;;
1100;643;;4900125555;;13;07.02.2014;-10;ив;;
1100;643;;4900125027;;241;06.02.2014;-10;ив;;
1100;643;;4900124502;;67;05.02.2014;-10;ив;;
1100;643;;4900123331;;110;03.02.2014;-20;ив;;
1100;101;;5000007044;;127;17.01.2014;30;ив;;
1100;101;;5000007040;;32;17.01.2014;30;ив;;
1100;643;;4900116967;;167;16.01.2014;-10;ив;;
1100;643;;4900112863;;179;27.12.2013;-10;ив;;
1100;643;;4900111504;;84;24.12.2013;-20;ив;;
1100;643;;4900108084;;102;17.12.2013;-10;ив;;
1100;101;;5000006506;;58;17.12.2013;20;ив;;
1100;643;;4900107524;;105;16.12.2013;-10;ив;;
1100;643;;4900106755;;198;13.12.2013;-10;ив;;
1100;643;;4900105655;;125;11.12.2013;-10;ив;;
1100;643;;4900103411;;294;05.12.2013;-10;ив;;
1100;643;;4900102320;;139;03.12.2013;-10;ив;;
1100;643;;4900101739;;88;02.12.2013;-10;ив;;
1100;643;;4900100299;;72;28.11.2013;-20;ив;;
1100;101;;5000006072;;32;27.11.2013;20;ив;;
1100;101;;5000006024;;7;26.11.2013;30;ив;;
1100;643;;4900099447;;292;26.11.2013;-10;ив;;
1100;643;;4900098822;;160;25.11.2013;-10;ив;;
1100;643;;4900095768;;168;15.11.2013;-20;ив;;
1100;643;;4900094813;;89;14.11.2013;-10;ив;;
1100;643;;4900094834;;1;14.11.2013;-10;ив;;
1100;643;;4900094164;;346;12.11.2013;-50;ив;;
1100;643;;4900093052;;202;08.11.2013;-40;ив;;
1100;643;;4900092076;;89;07.11.2013;-10;ив;;
1100;101;;5000005522;;58;06.11.2013;50;ив;;
1100;643;;4900091473;;173;05.11.2013;-10;ив;;
1100;101;;5000005170;;72;17.10.2013;50;ив;;
1100;643;;4900080413;;96;03.10.2013;-20;ив;;
1100;643;;4900080409;;96;03.10.2013;-20;ив;;
1100;644;;4900080410;;96;03.10.2013;20;ив;;
1100;643;;4900074977;;141;17.09.2013;-20;ив;;
1100;643;;4900074977;;140;17.09.2013;-10;ив;;
1100;643;;4900074121;;195;13.09.2013;-10;ив;;
1100;643;;4900072148;;136;09.09.2013;-10;ив;;
1100;643;;4900071062;;179;05.09.2013;-20;ив;;
1100;643;;4900070089;;187;03.09.2013;-10;ив;;
1100;643;;4900067304;;130;26.08.2013;-10;ив;;
1100;643;;4900067038;;189;26.08.2013;-10;ив;;
1100;643;;4900066186;;64;22.08.2013;-20;ив;;
1100;643;;4900065580;;115;20.08.2013;-20;ив;;
1100;643;;4900064863;;148;19.08.2013;-10;ив;;
1100;101;;5000003733;;81;15.08.2013;50;ив;;
1100;101;;5000003733;;32;15.08.2013;50;ив;;
1100;101;;5000003733;;9;15.08.2013;50;ив;;
1100;643;;4900061172;;292;06.08.2013;-20;ив;;
1100;643;;4900060852;;136;05.08.2013;-10;ив;;
1100;643;;4900057561;;83;25.07.2013;-10;ив;;
1100;643;;4900056491;;158;22.07.2013;-10;ив;;
1100;101;;5000003178;;51;19.07.2013;50;ив;;
1100;643;;4900053350;;77;11.07.2013;-10;ив;;
1100;101;;5000002998;;57;09.07.2013;50;ив;;
1100;643;;4900051658;;113;05.07.2013;-10;ив;;
1100;643;;4900051469;;212;05.07.2013;-10;ив;;
1100;101;;5000002935;;34;05.07.2013;50;ив;;
1100;643;;4900048975;;95;27.06.2013;-20;ив;;
1100;643;;4900047309;;198;21.06.2013;-20;ив;;
1100;643;;4900047309;;197;21.06.2013;-20;ив;;
1100;643;;4900046491;;79;19.06.2013;-10;ив;;
1100;101;;5000002614;;55;19.06.2013;50;ив;;
1100;101;;5000002555;;86;18.06.2013;50;ив;;
1100;643;;4900045540;;148;17.06.2013;-10;ив;;
1100;643;;4900044306;;86;13.06.2013;-10;ив;;
1100;101;;5000002390;;55;10.06.2013;50;ив;;
1100;643;;4900041241;;135;03.06.2013;-10;ив;;
1100;643;;4900039691;;382;28.05.2013;-10;ив;;
1100;643;;4900038671;;144;24.05.2013;-10;ив;;
1100;643;;4900037575;;103;22.05.2013;-10;ив;;
1100;643;;4900037369;;240;21.05.2013;-10;ив;;
1100;643;;4900037369;;239;21.05.2013;-20;ив;;
1100;101;;5000002016;;51;20.05.2013;20;ив;;
1100;643;;4900036071;;205;16.05.2013;-10;ив;;
1100;643;;4900036071;;204;16.05.2013;-20;ив;;
1100;643;;4900035481;;313;15.05.2013;-10;ив;;
1100;643;;4900030730;;98;23.04.2013;-10;ив;;
1100;643;;4900030476;;410;23.04.2013;-10;ив;;
1100;643;;4900029635;;240;19.04.2013;-20;ив;;
1100;101;;5000001487;;69;15.04.2013;30;ив;;
1100;101;;5000001445;;15;12.04.2013;50;ив;;
1100;101;;5000001465;;15;12.04.2013;30;ив;;
1100;643;;4900026872;;163;11.04.2013;-10;ив;;
1100;643;;4900026191;;155;09.04.2013;-10;ив;;
1100;643;;4900024222;;107;03.04.2013;-10;ив;;
1100;101;;5000001129;;82;25.03.2013;50;ив;;
1100;643;;4900021457;;194;25.03.2013;-10;ив;;
1100;643;;4900019587;;220;19.03.2013;-10;ив;;
1100;643;;4900019587;;221;19.03.2013;-10;ив;;
1100;643;;4900019315;;146;18.03.2013;-10;ив;;
1100;643;;4900019025;;188;18.03.2013;-10;ив;;
1100;643;;4900019025;;187;18.03.2013;-10;ив;;
1100;101;;5000000946;;18;12.03.2013;30;ив;;
1100;643;;4900017684;;46;12.03.2013;-20;ив;;
1100;643;;4900017684;;47;12.03.2013;-20;ив;;
1100;102;;5000000848;;18;05.03.2013;-30;ив;;
1100;643;;4900016108;;80;05.03.2013;-10;ив;;
